"id";"app_label";"model"
1;"admin";"logentry"
3;"auth";"group"
2;"auth";"permission"
4;"auth";"user"
5;"contenttypes";"contenttype"
6;"sessions";"session"
121;"simpris";"account"
122;"simpris";"answer"
123;"simpris";"authgroup"
124;"simpris";"authgrouppermissions"
125;"simpris";"authpermission"
126;"simpris";"authuser"
127;"simpris";"authusergroups"
128;"simpris";"authuseruserpermissions"
129;"simpris";"board"
130;"simpris";"client"
131;"simpris";"comment"
132;"simpris";"country"
133;"simpris";"document"
134;"simpris";"groups"
135;"simpris";"invoice"
136;"simpris";"invoiceline"
137;"simpris";"loginattempts"
138;"simpris";"lookup"
139;"simpris";"meta"
140;"simpris";"opinion"
141;"simpris";"organisation"
142;"simpris";"organisationarchive"
143;"simpris";"payrate"
144;"simpris";"phase"
145;"simpris";"problem"
146;"simpris";"problemarchive"
147;"simpris";"problemlink"
148;"simpris";"programme"
149;"simpris";"project"
150;"simpris";"projectarchive"
153;"simpris";"question"
154;"simpris";"questionnaire"
155;"simpris";"questionnairequestion"
151;"simpris";"queue"
152;"simpris";"queueuser"
156;"simpris";"status"
157;"simpris";"task"
158;"simpris";"taskarchive"
160;"simpris";"tasklist"
161;"simpris";"tasklistarchive"
162;"simpris";"taskstep"
159;"simpris";"tasktemplate"
163;"simpris";"taxrate"
164;"simpris";"team"
165;"simpris";"teamuser"
166;"simpris";"testtable"
167;"simpris";"time"
174;"simpris";"useractivity"
168;"simpris";"userattributes"
169;"simpris";"userconfiguration"
170;"simpris";"usercookie"
175;"simpris";"userorganisation"
171;"simpris";"userpayrate"
176;"simpris";"userproject"
177;"simpris";"userreport"
178;"simpris";"users"
179;"simpris";"usersarchive"
180;"simpris";"usersgroups"
172;"simpris";"userstatus"
181;"simpris";"usertask"
173;"simpris";"usertaxrate"
8;"simpris";"vaccountdetail"
9;"simpris";"vactualproblemlinks"
10;"simpris";"vboard"
11;"simpris";"vboardqueue"
12;"simpris";"vchartprojectbehindtasks"
13;"simpris";"vcharttasksbystatus"
14;"simpris";"vclientadmingroup"
15;"simpris";"vclientusers"
16;"simpris";"vcommentsparent"
17;"simpris";"vimportances"
18;"simpris";"vinvoicedetail"
19;"simpris";"vlookupsbytype"
20;"simpris";"vmyassignedprojects"
21;"simpris";"vmyattentionrequired"
22;"simpris";"vmyclient"
23;"simpris";"vmycriticalwork"
24;"simpris";"vmyimportantwork"
26;"simpris";"vmyinvoices"
25;"simpris";"vmyinvoicetimes"
27;"simpris";"vmyitems"
29;"simpris";"vmyorganisationevents"
30;"simpris";"vmyorganisations"
28;"simpris";"vmyorgtasks"
31;"simpris";"vmypriorities"
32;"simpris";"vmyproblempriorities"
35;"simpris";"vmyproblems"
33;"simpris";"vmyproblemscope"
34;"simpris";"vmyproblemstatuses"
36;"simpris";"vmyprogrammes"
37;"simpris";"vmyprojects"
38;"simpris";"vmyreports"
39;"simpris";"vmystatuses"
40;"simpris";"vmytasks"
41;"simpris";"vmytasktypes"
42;"simpris";"vmytime"
43;"simpris";"vmytimesheet"
44;"simpris";"vmyusers"
45;"simpris";"vnewuseremails"
46;"simpris";"vorganisationactivity"
47;"simpris";"vorganisationpotentialusers"
48;"simpris";"vorganisationprojectmanagers"
49;"simpris";"vorganisationprojectusers"
51;"simpris";"vorganisations"
50;"simpris";"vorganisationusers"
52;"simpris";"vproblemactivity"
53;"simpris";"vproblemassignees"
54;"simpris";"vproblemedit"
55;"simpris";"vproblemjson"
56;"simpris";"vproblems"
57;"simpris";"vprojectactivity"
58;"simpris";"vprojectassignees"
59;"simpris";"vprojectdetail"
60;"simpris";"vprojectdocuments"
61;"simpris";"vprojectgantt"
69;"simpris";"vprojectganttjq"
62;"simpris";"vprojectopinion"
63;"simpris";"vprojectopiniondetail"
64;"simpris";"vprojectpie"
65;"simpris";"vprojecttasklists"
66;"simpris";"vprojecttasks"
67;"simpris";"vprojectuseremails"
68;"simpris";"vprojectusers"
70;"simpris";"vregistereduser"
71;"simpris";"vschedule"
72;"simpris";"vsearch"
73;"simpris";"vsubscribersrecent"
74;"simpris";"vsubscription"
75;"simpris";"vsuggestproblemlinks"
76;"simpris";"vsuggestprojectlinks"
77;"simpris";"vtaskdependency"
78;"simpris";"vtaskdetail"
79;"simpris";"vtaskdocuments"
80;"simpris";"vtasklinks"
84;"simpris";"vtasklistactivity"
85;"simpris";"vtasklistproject"
86;"simpris";"vtasklisttask"
87;"simpris";"vtasklistusers"
88;"simpris";"vtasklistusersdistinct"
81;"simpris";"vtaskstatuses"
82;"simpris";"vtaskuseremails"
83;"simpris";"vtaskusers"
89;"simpris";"vteammembers"
90;"simpris";"vtimecalendar"
91;"simpris";"vtimedetail"
92;"simpris";"vtimegrid"
93;"simpris";"vtimetask"
94;"simpris";"vtimetype"
95;"simpris";"vuserassigned"
96;"simpris";"vuserattributes"
97;"simpris";"vusercontextfull"
98;"simpris";"vusercontextminimal"
99;"simpris";"vusercurrentprojects"
100;"simpris";"vuserdetail"
101;"simpris";"vusergroup"
102;"simpris";"vusergroupdetail"
103;"simpris";"vuserlogin"
104;"simpris";"vuserpotentialprojects"
105;"simpris";"vuserprojects"
106;"simpris";"vusers"
107;"simpris";"vwselectorganisationdetailsidebar"
108;"simpris";"vwselectorganisationindexsidebar"
109;"simpris";"vwselectproblemdetailsidebar"
110;"simpris";"vwselectproblemindexsidebar"
111;"simpris";"vwselectprogrammehistory"
112;"simpris";"vwselectprogrammeindexsidebar"
113;"simpris";"vwselectprojectdetailsidebar"
114;"simpris";"vwselectprojectindexsidebar"
115;"simpris";"vwselecttaskdetailsidebar"
116;"simpris";"vwselecttaskindexsidebar"
117;"simpris";"vwselecttimedetailsidebar"
118;"simpris";"vwselecttimeindexsidebar"
119;"simpris";"vwselectuserdetailsidebar"
120;"simpris";"vwselectuserindexsidebar"
7;"sites";"site"
